Category_number,Category,Subcategory_number,Subcategory,"Explanation for Lighthouse annotators (what should be in result list, what should not)",Examples of the text,,,
1,Disease/illness/syndrome/pathological condition,1.1,Definition,Result should contain definition/brief description of the disease,"""X is a genetic disorder due to...""",,,
1,Disease/illness/syndrome/pathological condition,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.","""Smoking is one of the risk factors..."", ""The reason of pneumonia development is a bacterial infection...""",,,
1,Disease/illness/syndrome/pathological condition,1.3,Mechanism of disease development,Result describes the progress of the disease and its underlying biology.,"""The inflammation process can be split in three phases:…""",,,
1,Disease/illness/syndrome/pathological condition,1.4,Symptoms,Result describes symptoms of the disease.,"""Coughing, difficulties with swelling are typical symptoms of...""",,,
1,Disease/illness/syndrome/pathological condition,1.5,Diagnosis,Result describes how a disease is diagnosed.,"""X can be diagnosed by performing imaging tests as CT scan….""",,,
1,Disease/illness/syndrome/pathological condition,1.6,Treatment,Result describes how a disease is treated.,"""Various treatment options include taking medications, physiotherapy, psychological counselling...""",,,
1,Disease/illness/syndrome/pathological condition,1.7,Prognosis,Result describes the prognosis for the disease.,"""After chemotherapy, there is still probability of recurring cancer""",,,
1,Disease/illness/syndrome/pathological condition,1.8,Associated conditions,Result discusses other conditions that are often found with the disease.,"""Obesity is often associated with increased risk of diabetes and cardiovascular disease""",,,
1,Disease/illness/syndrome/pathological condition,1.9,Patient support,"Results describe patient support, such as healthcare facilities for the disease, support groups and patient associations.","""There are various patient support groups/associations in London… there are also numerous online communities ...""",,,
1,Disease/illness/syndrome/pathological condition,1.10,Day to day life,"Result discusses living with the disease, or its effects on daily living.","""After diagnosis of diabetes you will have to adjust your lifestyle, and especially nutrition and physical activity to avoid fast progression of the disease""",,,
1,Disease/illness/syndrome/pathological condition,1.11,Clinical trials,Result describes clinical trials aimed at developing new treatments for the disease.,"""There are numerous clinical trials running in our hospital...""",,,
1,Disease/illness/syndrome/pathological condition,1.12,Research and scientific publications,"Result describes research and science related to the disease, and publication of this research and science.","Basically PubMed and other scientific articles databases, web sites of biomedical journals",,,
2,Drugs and medicinal substances,2.1,Definition,Result gives a description or definition of the substance.,"""X is a antiretroviral drug used in AIDS treatment...""",,,
2,Drugs and medicinal substances,2.2,When to use?,Result describes when the substance is used.,"""X is prescribed for following diseases…""",,,
2,Drugs and medicinal substances,2.3,How to use?,"Result discusses doses, routes, and how a substance is used","""X should be taken orally with a small amount of water, 3 times a day…""",,,
2,Drugs and medicinal substances,2.4,Side effects,Result describes side effects of the substance.,"""X has following side/adverse effects : headache, stomacache etc""",,,
