Query number,Original query,Correctly spelled query,Corrected Narratives,Harry,Anton,Daniel,Jimmy,Kerry,Seb,Category_numbers,Category/subcategory_name,"Explanation for Lighthouse annotators (what should be in result list, what should not)",Comments if required
1,anemia diet therapy,,You have been recently diagnosed with anemia. Your doctor prescribed a diet therapy which includes many changes in your diet. Find out more information on what kind of changes you will need.,anemia change in diet,diet for anemia,anemia treat diet therapy changes,anemia diet therapy,anemia diet,Diet for anemia,6.2,Diet for specific health conditions,Result gives information about diet for particular disease,
2,emotional and mental disorders,,A colleague from work who was very social suddenly became withdrawn and has shown various mood alterations. You think there might be something wrong with her mental health. Find out more information on diseases that might be causing this change in her behaviour.,work colleague depression,"mental health problems, change in mood and withdrawn",mental health cause withdrawn mood changes ,disease cause mental health behaviour change,mood alterations causes,uncommon mood change ,1.1,Definition,Result should contain definition/brief description of the disease,"the results should present various medical conditions in this group (depression, shisophrenia etc)"
3,american diabetes association,,One of your friends is an American citizen that recently has been diangosed with diabetes. You want to help her find out what kind of support the local US associations can provide.,USA diabetes association,us government support for diabetes,diabetes US support organisation,diabetes support for American citizen,support for diabetes patient US local associations,Diabetes support USA,3,Healthcare,,"there is no particular subcategory for this one, but basically the result should be the web site of organization"
4,high blood pressure,,"Your elderly father has just been diagnosed with high blood pressure (HBP). You have decided to find some information that discusses living with high blood pressure and its effects on daily living, including which food and activities he should avoid.",elderly hbp food activities,living with high blood pressure,high blood pressure daily life changes diet activity ,high blood pressure diet and daily activities for elderly,How to live with high blood pressure ,Managing high blood pressure,1,Disease/illness/syndrome/pathological condition,"Result discusses living with the disease, or its effects on daily living.",
5,infectious disease prevention,,"You heard on the news of an outbreak of an infectious disease in India. This episode made you curious to find out what causes an infectious disease outbreak, and how an outbreak could be prevented.",infectious disease india,infectious disease prevention,infectious disease outbreak cause prevent ,infectious disease outbreak cause and prevention,India infectious disease outbreak,Cause and prevenesion of infectious diseases,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.","the results should present various infectious diseases (flu, malaria etc)"
6,food allergy test,,"You found out today that one of your best friends is allergic to milk, while another one is allergic to nuts. You are concerned that you might be allergic to some food as well. Find out more information on what kind of test you can do to verify if you have any food allergy.",food allergy tests,tests for food allergies,test identify food allergy ,food allergic test,allergy test ,Allergy Tests,4,Test & procedures,,
7,orlistat drug profile,,"You found a bottle of a drug called orlistat on the desk of a colleague from work. You are afraid that he might be suffering from some serious disease and would like to gather more information on that before asking him about it. Find out more information on orlistat (including what this drug is for, how long it should be administrated for, etc).",orlistat symptoms directions,what is orlistat,orlistat treatment,orlistat administration,what is orlistat ,orlistat information,2,Drugs and medicinal substances,Result gives a description or definition of the substance.,kind of drug information leaflet
8,radiation health effect,,"You were offered an internship in a facility that performs x-ray tests on a daily basis. You are worried that this may affect your health, since now and then you could be exposed to higher levels of radiation. Find out more information on how radiation might affect your health and wellbeing.",xray radiation exposure,x-ray risks for medical personnel,radiation effects health,x-ray facility radiation daily long term exposure effect,effect of radiations on health,x-ray danger,6.5,Environmental health,,
9,smoking and heart disease,,"Your aunt is addicted to nicotine and smokes two packs of cigarettes a day. She says that she smokes because her job is very demanding and smoking relaxes her. You want to convince her that smoking might be harmful to her, for example, increasing the chances of getting a heart disease. Find out more information on consequences of smoking to the human body, and in particular which diseases that she might develop in the near future.",adverse effects smoking,cigarette smoking risks,smoking risks health diseases,smoking long term harm to health and cause diseases,harms of smoking,Negitves of smoking ,1.2,"Reasons, risk factors/prevention","Result describes the reason of the disease, how it is caught or transmitted, or the risk factors for catching the disease.",
10,smoking cessation products,,Your sister is trying to quit smoking and would like you to help. Find out information on different products for smoking cessation.,quit smoking,quit cigarette smoking,smoking quit products,quit smoking supporting products,,Anti-smoking assistance ,2,Drugs and medicinal substances,Result gives a description or definition of the substance.,various products and techniques
11,omega 3 fatty acids,,Your colleague just started a diet that is rich in omega 3 fatty acids. You are curious to know which food contains these acids and what are the advantages and disadvantages of such diet. ,pros cons omega3,foods containing omega 3 fatty acids,food contain omega 3 fatty acid diet advantages,omega 3 fatty acids diet advantages and disadvantages,omega 3 pros and cons,omega 3 pros and cons,6.1,Balanced diet,,
12,common medication errors,,"You are writing a survey on common mistakes related to drug and medications and would like to use a search engine to find out more information on common medication errors, which include drug interaction, drug overdose, wrong drug admission, and so on.",common medication mistakes,common drug administration errors,common medication problems side-effects overdose,medicine administration error overdose interaction,medications common mistakes,statistics on Medication errors,2,Drugs and medicinal substances,Result describes precautions that should be taken when using the substance.,"there is no particular subcategory for this one, but ideally the result should give some examples of medications errors. Probably drug interaction, drug overdose, wrong drug admission etc."
13,Anxiety coping skills,,"You have been feeling a bit anxious recently, and are considering going to a doctor for a consultation. Before spending money for seeing a doctor, however, you have decided to see if you could learn startegies for day to day copying with your anxiety problem. You want to search internet for possible startegies.",dealing with anxiety,strategies for coping with anxiety,anxiety coping strategy,anxiety self treatment,how to cope with anxiety,How to cope with anxiety ,1.10,Day to day life,"Result discusses living with the disease, or its effects on daily living.",
14,health benefits of spirulina,,A colleague from work shared during lunch that she has been eating spirulina every day for a week and feeling great. You have never heard of spirulina and would like to know more about it and its health benefits.,spirulina wikipedia,health effects of spirulina,spirulina health benefit ,spirulina advantages and disadvantages,spirulina,pros and cons spirculina,6.1,Balanced diet,Result gives information about diet for particular disease,
15,do allergies cause migraines,,"Your cousin is known to be allergic to everything (animal fur, peanuts, milk). Recently he missed all family get-togethers because he had terrible headaches (migraines). Find out if there is any relationship (cause and effect) between allergies and migraines or if your cousin is just avoiding the family reunions.",do allergies cause migraines,relationship between allergies and migraines,allergy symptom migraine ,allergic cause migraines,allergies lead to headaches?,headaches and allergies,1.3,Mechanism of disease development,Result describes the progress of the disease and its underlying biology.,
16,ketamine and its potential for abuse,,You heard that a friend is in hospital because he abused a drug named ketamine. Find out more information what this drug is and its potential abuse.,ketamine,ketamine drug abuse,ketamine effects overdose ,ketamine use and abuse,ketamine abuse,how can Ketamine be abused,2.5,Precautions,,"can also be 2.4, 2.6 and 2.7"
17,head and neck cancer,,"You heard that ex-Formula1 pilot Barichello was treated for a neck cancer. This news made you curious of what are the different type of cancers that affect the head and neck, and how these different types of cancer progress, including what is the mortality risk for each of these.",neck cancer mortality,mortality risks of different types of head and neck cancer,head neck cancer type progression mortality,cancer types development and fatality,head and neck cancer,types of cancer for head and neck,1,Disease/illness/syndrome/pathological condition,Result describes the progress of the disease and its underlying biology.,also 7.1. the results should present various cancers occuring in these body parts
18,hiv vaccine phase,,"On your way to work, you heard on the radio that scientists are developing an HIV vaccine, but a clinical trial for this vaccine has many phases. Find out more information on the process and the phases involved in creating an HIV vaccine.",hiv vaccine clinical trial phases,HIV vaccine development phases,HIV vaccine stages,HIV vaccine development procedures,How HIV vaccine is made,HIV vaccine,4.7,Other procedures,,also 2.8
19,normal lab values,,"You had some blood tests doen last week and now you received the results. You would like to know how your results compare to normal values, but you don't know what the normal values are for your lab tests. Search online to find more information on this.",baseline blood tests,how to interpret my blood test results,blood test normal range results,blood test normal values range,normal values of blood tests,normal blood test values,4,Test & procedures,,
20,rheumatoid arthritis prognosis,,You have been diagnosed with rheumatoid arthritis by your doctor. Find out more information on this disease and what its likely course is.,rheumatoid arthritis causes,rheumatodi arthritis long term outlook,rheumatoid arthritis prognosis ,rheumatoid arthritis cause and effects,rheumatoid causes,Rheumatoid arthritis symptoms,1.7,Prognosis,Result describes the prognosis for the disease.,
21,breast reduction and lift,,"The fiance of a friend of yours wants to undertake a breast operation and lift surgery. You are curious to know more about what this operation is, how much it may cost, and why people would do it.",cosmetic surgery breast,breast augmentation surgery details,breast lift surgery cost information,breast operation lift surgery cost and benefit,breast operation lift surgery,breast lift surgery,4.6,Surgery Operations,,
22,involuntary trembling or quivering,,"Yesterday you noticed that your mum was trembling and quivering. She did not do this on purpose, and when you asked her, she said she felt fine. You want to find out what may have caused this, and whether it is something serious.",woman trembling quivering,causes of trembling and quivering,fever shivering causes ,elderly trembling and quivering cause,trembling and quivering causes,course for trembling and quivering,1.4,Symptoms,Result describes symptoms of the disease and treatments.,results should provide possible health conditions for which this symptom is known and also 1.6 (treatment options)
23,drug food interaction,,"You have heard in the radio that some medications may interact with food. You want to use a search engine to know more about this, and find example of drug-food interactions.",medication food interaction,medications and food interaction,medication food interactions,drug food interactions,drug food interactions,drug and food interactions,2.6,Interactions,,results should provide known examples of food-drug interaction
24,breakfast better student,,Your daughter is not going well in school. Her grades are very low. You saw on the morning news on TV that breakfast might affect school performance. Find out more information on how breakfast might affect student performance at school.,does breakfast improve student performance,breakfast and student performance,child food breakfast before school,breakfast affects student performance,breakfast influence perforamce at school?,How does breakfast effect you,6.1,Balanced diet,,
